% Model:              moire_potential_wavefunction.mph
% Version:            COMSOL 5.5.0.306
% Date:               Feb 13 2023, 11:04
% Dimension:          2
% Nodes:              1333
% Expressions:        2
% Description:        Normalized wave function, Potential energy
% Length unit:        nm
% X                       Y                        schr.Psi (1) @ lambda=1  schr.V (J) @ lambda=1
0                         7.279411764705869        2.2095735868539214E8     -5.9874817705639065E-21
0.19103501554068486       7.38970588235294         2.2095733309174013E8     -5.987481770563917E-21
0                         7.5                      2.2204884432638443E8     -6.0562276266240005E-21
0.3820700310813697        7.279411764705881        2.177394398935599E8      -5.783585260060223E-21
0.19154956493382658       7.166246502314332        2.187565111033047E8      -5.848228955296438E-21
0                         7.058823529411752        2.1773947633985066E8     -5.783585260060206E-21
0.5731050466220547        7.1691176470588225       2.1255987966923866E8     -5.451481546231214E-21
0.38478160767220854       7.05075431932897         2.1440839282233575E8     -5.570556849917336E-21
0.19140894545209794       6.939357640911316        2.1438555262173685E8     -5.569090807931704E-21
0                         6.838235294117636        2.125599232965033E8      -5.45148154623119E-21
0.7641400621627394        7.058823529411764        2.0567757279086217E8     -5.0024800227368316E-21
0.5777560925270893        6.946503230186483        2.0842265242874512E8     -5.182633855039386E-21
0.392799709723013         6.803887114729947        2.084477104079509E8      -5.1842741344433834E-21
0.1793218643719331        6.718191746836573        2.083579813668977E8      -5.178411119156632E-21
0                         6.617647058823519        2.0567759671983507E8     -5.0024800227368045E-21
0.7744324668684739        6.847560918755665        2.0094414749016586E8     -4.6883313522057315E-21
0.9551750777034246        6.948529411764706        1.9742419393358013E8     -4.451870897941713E-21
0.5977281984109865        6.745541765756803        2.0281406296620965E8     -4.8128867747470665E-21
0.49006984669920395       6.628866705733491        2.0143647451372993E8     -4.721136938498228E-21
0.3285314129275723        6.597994394356005        2.029086894896122E8      -4.819179298501026E-21
0.16263483493372727       6.5034448307389034       2.0105414425104466E8     -4.695682071788188E-21
0                         6.397058823529402        1.9742417323052955E8     -4.4518708979416815E-21
0.7881822939121249        6.645141842746682        1.9499200537787893E8     -4.286783448622525E-21
0.9662262640398919        6.740842220974774        1.9224318599003652E8     -4.099064322730865E-21
1.1462100932441095        6.838235294117646        1.8817841569744816E8     -3.81840450520789E-21
0.6374330382467749        6.557901359533141        1.960234140216434E8      -4.356771350077191E-21
0.4777345693076392        6.463466234757615        1.958669486334896E8      -4.346167531094601E-21
0.32834062813703146       6.385875285672749        1.95044417348536E8       -4.290363082304355E-21
0.1664980541634435        6.286096713751041        1.9239195639310488E8     -4.1092729557195035E-21
0                         6.1764705882352855       1.881783949397327E8      -3.818404505207858E-21
0.8079445940849567        6.441225935750906        1.8779681319037625E8     -3.7912754376122636E-21
0.9789259945661423        6.534740837881482        1.8591747560028067E8     -3.6603066153563206E-21
1.1548671892026452        6.630847768633669        1.8278613819334427E8     -3.440244903142203E-21
1.3372451087847945        6.727941176470588        1.783391419724545E8      -3.123652782780723E-21
0.6519585398628961        6.3497496074182225       1.8821583577403772E8     -3.820358999897447E-21
0.4938319069745281        6.260388054494116        1.8768710187163544E8     -3.783661228810363E-21
0.33545616977040066       6.168673603477333        1.8599955896815684E8     -3.666069724181482E-21
0.16943151333343462       6.066000089374492        1.8284970691059688E8     -3.4447463578016E-21
0                         5.955882352941169        1.7833915008742544E8     -3.1236527827806913E-21
0.8265408570223897        6.233644347540608        1.797369650093732E8      -3.2223567580633814E-21
0.9951372717977707        6.3277992903710505       1.7859418176542985E8     -3.140828304473386E-21
1.1674224967514348        6.423175186207387        1.7631212303576934E8     -2.9770542076159293E-21
1.3436064192958708        6.520328456336571        1.7292881788003978E8     -2.7317725439445818E-21
1.5282801243254793        6.617647058823528        1.6830052108171123E8     -2.39127466730462E-21
0.6682662735410876        6.141871712432951        1.7967353996453395E8     -3.2178401563217518E-21
0.8435407434406534        6.024917778273708        1.7118556057981965E8     -2.601671999325953E-21
0.5084230483340498        6.048545476377648        1.7858238132573545E8     -3.14000417347918E-21
0.3421841533428904        5.948448289567051        1.7628456822347227E8     -2.9750865371385854E-21
0.17332663919717026       5.844293017953218        1.728417114123678E8      -2.7254212274289887E-21
0                         5.735294117647052        1.683005333663039E8      -2.391274667304589E-21
1.0104889677374727        6.119464989704631        1.7066363909674677E8     -2.5634696923986712E-21
1.1804276194573584        6.2147079719243505       1.6912364360389492E8     -2.45036689643163E-21
1.3544032791854992        6.311088025874337        1.665615551378777E8      -2.2607343156109237E-21
1.533607440678633         6.408585249351848        1.6298225023328197E8     -1.9926328509844027E-21
1.7193151398661646        6.50735294117647         1.5843118261756545E8     -1.6462104171113905E-21
1.0246098110329758        5.910230894345076        1.6242593814696333E8     -1.9463454363557826E-21
0.6830994185472797        5.931070049402478        1.7064841271152022E8     -2.5623684066584077E-21
0.8594914130397354        5.815377804088338        1.6243253143981862E8     -1.946857390312061E-21
0.5169323370108365        5.832023923100698        1.690727838382142E8      -2.4466303882954714E-21
0.34854167733229374       5.730286630406285        1.664938795043933E8      -2.255701393518178E-21
0.1773532841405592        5.626257493819701        1.629916143405734E8      -1.99334291193166E-21
0                         5.514705882352935        1.5843117646920303E8     -1.6462104171113597E-21
1.1933417199180951        6.005607772161599        1.615066174769797E8      -1.8771656602553502E-21
1.3653405941259582        6.1017357517715345       1.5968569558344838E8     -1.7393995705841146E-21
1.5421206748765464        6.1989420685441985       1.569558083356655E8      -1.5308939135208489E-21
1.724004609369077         6.29725291708023         1.5336828998433957E8     -1.2531792203616969E-21
1.9103501554068494        6.39705882352941         1.490592587554735E8      -9.138323016352855E-22
1.2055166746868724        5.795902748878379        1.5374083104382718E8     -1.2756380107906313E-21
1.035279347375025         5.7001142729637975       1.5419768970131996E8     -1.3109322173927207E-21
0.692894644192225         5.716557608813237        1.6146671859800258E8     -1.874156576155022E-21
0.8697235964616054        5.601886304276096        1.537205354543045E8      -1.2740667186095882E-21
0.524781572193565         5.615868445721934        1.5961817355238047E8     -1.734258110804492E-21
0.3544259616368882        5.512974788081564        1.5692380884313107E8     -1.5284314693041487E-21
0.1796191710160671        5.406419840228882        1.5340320688935342E8     -1.2559094495002009E-21
0                         5.294117647058818        1.4905925508785662E8     -9.138323016352616E-22
1.3765309134755164        5.892098397447483        1.5254130141986987E8     -1.182857394575617E-21
1.5512179235143895        5.989065108117604        1.5055979102689528E8     -1.0284954886902576E-21
1.7309111030421398        6.087163119810947        1.478097258385537E8      -8.118924333374515E-22
1.915192624534587         6.186543347415982        1.443817212819846E8      -5.379109954314124E-22
2.1013851709475344        6.286764705882353        1.4046360033884093E8     -2.1908057920812147E-22
1.387675730978783         5.6820664389037          1.4537348972137317E8     -6.082071460281403E-22
1.2170344319657176        5.585490646053766        1.4606570099670446E8     -6.6288259846304625E-22
1.0482823108252346        5.488518321837295        1.4608003424661136E8     -6.6404766872148E-22
0.7018710244156107        5.501818327504217        1.5249017975193235E8     -1.178858544062206E-21
0.879736953952607         5.388248481214171        1.453482439893656E8      -6.061700736374873E-22
0.5322583329162556        5.400024104777342        1.5052152324076024E8     -1.0254718567198888E-21
0.35728150620621674       5.293461531506939        1.4777104268924108E8     -8.088098413535514E-22
0.17987256282965203       5.184505395619666        1.4437553815170434E8     -5.374105545195968E-22
0                         5.073529411764701        1.4046360209249288E8     -2.1908057920809763E-22
1.5609185519114377        5.779013869702739        1.4402321756902888E8     -5.0105856170159605E-22
1.7383966737001062        5.876795716738513        1.4201630023683122E8     -3.4040240871708073E-22
1.9202600731171697        5.9756478169631135       1.3940754217984843E8     -1.2899241093733455E-22
2.105979511192779         6.07586152896612         1.362999265444788E8      1.2680782566560284E-22
2.2924201864882194        6.176470588235293        1.328707634905932E8      4.143858135257044E-22
1.5709014684655365        5.568690669171577        1.375669558418322E8      3.4774287863860465E-23
1.398296109356331         5.471567018700083        1.3841126160484812E8     -3.3261876904120704E-23
1.2271564185720585        5.374775075039342        1.3873309992703295E8     -5.923513161568389E-23
1.0582378497112257        5.274950783218658        1.3840380519693086E8     -3.263149763226841E-23
0.7105913498909356        5.287238988250078        1.43997370427412E8       -4.98944685058561E-22
0.8891152719436217        5.174480266351106        1.3755884223878333E8     3.549070241002888E-23
0.5361316898903268        5.181456520209117        1.4196630993829975E8     -3.3631719889272813E-22
0.35968962845835606       5.073876106116472        1.393749608137628E8      -1.2630596162674328E-22
0.18033801917890943       4.963705641524809        1.362864702323674E8      1.2793208582539207E-22
0                         4.852941176470583        1.3287076452529763E8     4.14385813525721E-22
1.746762803796594         5.666344893146499        1.3618627664927885E8     1.4675157700502255E-22
1.9269598085264716        5.764940934004315        1.342912354199904E8      3.0201841931589444E-22
2.1111434451613094        5.864658052525045        1.3195292335712303E8     4.962058098486763E-22
2.2972416050353317        5.965192331979588        1.2929716573642226E8     7.204493279492575E-22
2.4834552020289045        6.0661764705882355       1.264567234064496E8      9.649949383208254E-22
1.7555510910156291        5.455677016339085        1.3051519865707342E8     6.336958406289423E-22
1.5806793502949752        5.357947429358997        1.3138986316032566E8     5.622982851587486E-22
1.4083422995668344        5.260287482735073        1.3183940753189503E8     5.257520264144031E-22
1.2371978707473104        5.161580936265095        1.3184451490439701E8     5.253236804055772E-22
1.0676624242535964        5.061626850867735        1.313958950844758E8      5.618320496589483E-22
0.7152967533785405        5.069556319410855        1.3614907202507457E8     1.4989191575260217E-22
