"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
1.963589500E-1,0.000000000E0,2.089689225E-1,9.740809441E0,9.743050681E0
1.988815330E-1,-4.863222130E-3,2.208651006E-1,9.756297112E0,9.758797998E0
2.014046450E-1,3.591302549E-3,2.185457200E-1,9.738415718E0,9.740868330E0
2.039280010E-1,1.309329085E-2,2.281225324E-1,9.739686966E0,9.742366936E0
2.064504630E-1,-1.122282003E-3,2.233341336E-1,9.725247383E0,9.727811473E0
2.089736550E-1,-1.309329085E-2,2.184709013E-1,9.734748840E0,9.737208838E0
2.114968080E-1,-1.496376062E-4,2.255786955E-1,9.759888649E0,9.762495184E0
2.140201650E-1,-1.197100803E-2,2.160767019E-1,9.740735054E0,9.743138706E0
2.165427070E-1,5.910685286E-3,1.981950104E-1,9.745597839E0,9.747614757E0
2.190659000E-1,-8.454524912E-3,2.208651006E-1,9.753902435E0,9.756406387E0
2.215886870E-1,-1.795651205E-2,2.207902819E-1,9.746720314E0,9.749237286E0
2.241122470E-1,-8.454524912E-3,2.220622003E-1,9.749114037E0,9.751646404E0
2.266006100E-1,1.047463273E-3,2.041056901E-1,9.758690834E0,9.760825120E0
2.291580230E-1,1.309329085E-2,2.065747082E-1,9.742006302E0,9.744205013E0
2.316812160E-1,3.441664856E-3,2.053027898E-1,9.768268585E0,9.770426410E0
2.342039630E-1,2.259527892E-2,2.149544209E-1,9.752855301E0,9.755249995E0
2.367274000E-1,1.907879487E-2,2.173486203E-1,9.744475365E0,9.746917695E0
2.392503080E-1,2.147299610E-2,2.102408409E-1,9.736096382E0,9.738389757E0
2.417735430E-1,1.122282003E-3,2.148796022E-1,9.749189377E0,9.751557209E0
2.442962480E-1,1.660977490E-2,2.029834092E-1,9.753977776E0,9.756103761E0
2.468194820E-1,1.668459363E-2,2.077718228E-1,9.738490105E0,9.740720560E0
2.493424310E-1,1.429039147E-2,2.269254327E-1,9.738490105E0,9.741144126E0
2.518500400E-1,5.910685286E-3,2.112883031E-1,9.742081642E0,9.744374398E0
2.543637940E-1,3.441664856E-3,2.160767019E-1,9.756371498E0,9.758764563E0
2.568972820E-1,4.638765939E-3,2.220622003E-1,9.748066902E0,9.750596980E0
2.594345940E-1,1.182137057E-2,1.969979107E-1,9.752855301E0,9.754851841E0
